Geographic Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Delaware,786417,794954,804636,815525,827154,840296,853301,865314,876794,884124,899593.0,907381.0,915179.0,923576.0,932487.0,941252.0,948921.0,956823.0,965479.0,973764.0,989948.0
District of Columbia,571776,578228,579736,577844,579890,582049,583841,585916,589929,599975,605226.0,619800.0,634924.0,650581.0,662328.0,675400.0,685815.0,694906.0,701547.0,705749.0,689545.0
Florida,16046148,16350988,16675166,16974177,17366358,17773291,18076361,18262096,18410241,18509936,18845537.0,19053237.0,19297822.0,19545621.0,19845911.0,20209042.0,20613477.0,20963613.0,21244317.0,21477737.0,21538187.0
Georgia,8230306,8418687,8582756,8727810,8907292,9090479,9323575,9526642,9690277,9813588,9711881.0,9802431.0,9901430.0,9972479.0,10067278.0,10178447.0,10301890.0,10410330.0,10511131.0,10617423.0,10711908.0
Hawaii,1212396,1218790,1226410,1231632,1246872,1259147,1269228,1269796,1280001,1288285,1363963.0,1379329.0,1394804.0,1408243.0,1414538.0,1422052.0,1427559.0,1424393.0,1420593.0,1415872.0,1455271.0
Idaho,1299555,1320791,1341704,1363672,1391127,1425226,1463631,1498390,1526295,1544465,1570746.0,1583910.0,1595324.0,1611206.0,1631112.0,1651059.0,1682380.0,1717715.0,1750536.0,1787065.0,1839106.0
Illinois,12437568,12506636,12557032,12599246,12644218,12672835,12714588,12775864,12836402,12893278,12840503.0,12867454.0,12882510.0,12895129.0,12884493.0,12858913.0,12820527.0,12778828.0,12723071.0,12671821.0,12812508.0
Indiana,6091517,6124090,6148648,6184552,6214844,6253142,6300341,6344771,6386601,6417276,6490432.0,6516528.0,6537703.0,6568713.0,6593644.0,6608422.0,6634304.0,6658078.0,6695497.0,6732219.0,6785528.0
Iowa,2928191,2929240,2929379,2934585,2942311,2950517,2965203,2979867,2994658,3008331,3050745.0,3066336.0,3076190.0,3092997.0,3109350.0,3120960.0,3131371.0,3141550.0,3148618.0,3155070.0,3190369.0
Kansas,2692907,2701167,2711741,2720361,2729378,2739997,2754018,2773740,2795257,2817430,2858190.0,2869225.0,2885257.0,2893212.0,2900475.0,2909011.0,2910844.0,2908718.0,2911359.0,2913314.0,2937880.0
Kentucky,4048714,4068775,4090824,4117691,4145777,4179655,4216783,4254513,4287259,4312268,4348181.0,4369821.0,4386346.0,4404659.0,4414349.0,4425976.0,4438182.0,4452268.0,4461153.0,4467673.0,4505836.0
Louisiana,4468970,4460400,4465089,4473198,4487246,4495113,4237693,4373448,4448806,4489490,4544532.0,4575625.0,4600972.0,4624527.0,4644013.0,4664628.0,4678135.0,4670560.0,4659690.0,4648794.0,4657757.0
Maine,1277040,1284295,1293181,1302365,1307227,1310424,1313479,1315749,1318133,1315889,1327629.0,1328284.0,1327729.0,1328009.0,1330513.0,1328262.0,1331317.0,1334612.0,1339057.0,1344212.0,1362359.0
Maryland,5310504,5374009,5437880,5491971,5537913,5576889,5605552,5627211,5650870,5688399,5788645.0,5839419.0,5886992.0,5923188.0,5957283.0,5985562.0,6003323.0,6023868.0,6035802.0,6045680.0,6177224.0
Massachusetts,6362498,6411336,6440762,6455028,6452636,6453694,6466069,6499672,6544089,6592205,6566307.0,6613583.0,6663005.0,6713315.0,6762596.0,6794228.0,6823608.0,6859789.0,6882635.0,6892503.0,7029917.0
Michigan,9954984,10005334,10039223,10072219,10091511,10092426,10082414,10051145,9999456,9955260,9877510.0,9882412.0,9897145.0,9913065.0,9929848.0,9931715.0,9950571.0,9973114.0,9984072.0,9986857.0,10077331.0
Minnesota,4933739,4982180,5017355,5050393,5080031,5106992,5147857,5191267,5230247,5262824,5310828.0,5346143.0,5376643.0,5413479.0,5451079.0,5482032.0,5522744.0,5566230.0,5606249.0,5639632.0,5706494.0
Mississippi,2848433,2853090,2858076,2866386,2884920,2899300,2896691,2920312,2939234,2949943,2970548.0,2978731.0,2983816.0,2988711.0,2990468.0,2988471.0,2987938.0,2988510.0,2981020.0,2976149.0,2961279.0
Missouri,5605714,5642852,5679158,5713051,5755931,5803587,5857974,5905750,5951844,5982234,5995974.0,6010275.0,6024367.0,6040715.0,6056202.0,6071732.0,6087135.0,6106670.0,6121623.0,6137428.0,6154913.0
Montana,903305,905782,909722,916620,925711,934656,946059,957123,967717,974163,990697.0,997316.0,1003783.0,1013569.0,1021869.0,1030475.0,1040859.0,1052482.0,1060665.0,1068778.0,1084225.0
Nebraska,1713279,1717672,1724577,1733099,1741417,1750772,1759327,1768745,1780143,1794852,1829542.0,1840672.0,1853303.0,1865279.0,1879321.0,1891277.0,1905616.0,1915947.0,1925614.0,1934408.0,1961504.0
Nevada,2018196,2094338,2165828,2236378,2327547,2407073,2491122,2564816,2612460,2638588,2702405.0,2712730.0,2743996.0,2775970.0,2817628.0,2866939.0,2917563.0,2969905.0,3027341.0,3080156.0,3104614.0
New Hampshire,1240385,1256685,1270962,1282146,1292566,1301050,1311184,1316496,1320981,1322181,1316762.0,1320202.0,1324232.0,1326622.0,1333341.0,1336350.0,1342307.0,1348787.0,1353465.0,1359711.0,1377529.0
