Geographic Area,Year,Private Insured
South Carolina,2013,2912000
South Dakota,2013,593000
Tennessee,2013,4079000
Texas,2013,15033000
Utah,2013,2114000
Vermont,2013,415000
Virginia,2013,5954000
Washington,2013,4703000
West Virginia,2013,1146000
Wisconsin,2013,4071000
Wyoming,2013,424000
United States,2012,201213000
Alabama,2012,3088000
Alaska,2012,446000
Arizona,2012,3822000
Arkansas,2012,1699000
California,2012,22507000
Colorado,2012,3499000
Connecticut,2012,2543000
Delaware,2012,636000
District of Columbia,2012,432000
Florida,2012,10872000
Georgia,2012,6024000
Hawaii,2012,1012000
Idaho,2012,1044000
Illinois,2012,8547000
Indiana,2012,4366000
Iowa,2012,2290000
Kansas,2012,2044000
Kentucky,2012,2768000
Louisiana,2012,2650000
Maine,2012,859000
Maryland,2012,4251000
Massachusetts,2012,4911000
Michigan,2012,6718000
Minnesota,2012,4063000
Mississippi,2012,1639000
Missouri,2012,3991000
Montana,2012,628000
Nebraska,2012,1347000
Nevada,2012,1674000
New Hampshire,2012,983000
New Jersey,2012,6200000
New Mexico,2012,1126000
New York,2012,12630000
North Carolina,2012,5991000
North Dakota,2012,546000
Ohio,2012,7810000
Oklahoma,2012,2283000
Oregon,2012,2536000
Pennsylvania,2012,9056000
Rhode Island,2012,726000
South Carolina,2012,2866000
South Dakota,2012,588000
Tennessee,2012,4102000
Texas,2012,14658000
Utah,2012,2076000
Vermont,2012,426000
Virginia,2012,5912000
Washington,2012,4688000
West Virginia,2012,1153000
Wisconsin,2012,4092000
Wyoming,2012,391000
United States,2011,199871000
Alabama,2011,3061000
Alaska,2011,440000
Arizona,2011,3771000
Arkansas,2011,1688000
California,2011,22363000
Colorado,2011,3489000
Connecticut,2011,2574000
Delaware,2011,628000
District of Columbia,2011,430000
Florida,2011,10810000
Georgia,2011,5934000
Hawaii,2011,1003000
Idaho,2011,1048000
Illinois,2011,8475000
Indiana,2011,4346000
Iowa,2011,2278000
Kansas,2011,2050000
Kentucky,2011,2745000
Louisiana,2011,2620000
Maine,2011,864000
Maryland,2011,4245000
Massachusetts,2011,4878000
Michigan,2011,6674000
Minnesota,2011,3989000
Mississippi,2011,1640000
Missouri,2011,4033000
Montana,2011,643000
Nebraska,2011,1339000
Nevada,2011,1699000
New Hampshire,2011,989000
New Jersey,2011,6187000
New Mexico,2011,1089000
New York,2011,12496000
North Carolina,2011,6019000
North Dakota,2011,527000
Ohio,2011,7840000
Oklahoma,2011,2276000
Oregon,2011,2512000
Pennsylvania,2011,9034000
Rhode Island,2011,738000
South Carolina,2011,2862000
South Dakota,2011,579000
Tennessee,2011,3997000
Texas,2011,14454000
Utah,2011,2033000
Vermont,2011,426000
Virginia,2011,5864000
Washington,2011,4624000
West Virginia,2011,1133000
Wisconsin,2011,4038000
Wyoming,2011,396000
United States,2010,200269000
Alabama,2010,3075000
Alaska,2010,446000
Arizona,2010,3811000
Arkansas,2010,1686000
California,2010,22327000
Colorado,2010,3458000
Connecticut,2010,2606000
Delaware,2010,627000
District of Columbia,2010,415000
Florida,2010,10888000
Georgia,2010,5929000
Hawaii,2010,1004000
Idaho,2010,1047000
Illinois,2010,8540000
Indiana,2010,4359000
Iowa,2010,2274000
Kansas,2010,2049000
Kentucky,2010,2724000
Louisiana,2010,2593000
Maine,2010,874000
Maryland,2010,4222000
Massachusetts,2010,4923000
Michigan,2010,6696000
Minnesota,2010,4022000
Mississippi,2010,1640000
Missouri,2010,4066000
Montana,2010,660000
Nebraska,2010,1339000
Nevada,2010,1695000
New Hampshire,2010,994000
New Jersey,2010,6248000
New Mexico,2010,1133000
New York,2010,12628000
North Carolina,2010,5990000
North Dakota,2010,527000
Ohio,2010,7873000
Oklahoma,2010,2273000
Oregon,2010,2536000
Pennsylvania,2010,9111000
Rhode Island,2010,729000
South Carolina,2010,2851000
South Dakota,2010,588000
Tennessee,2010,4043000
Texas,2010,14259000
Utah,2010,2005000
Vermont,2010,418000
Virginia,2010,5826000
Washington,2010,4603000
West Virginia,2010,1158000
Wisconsin,2010,4085000
Wyoming,2010,393000
United States,2009,203300000
Alabama,2009,3097000
Alaska,2009,438000
Arizona,2009,3975000
Arkansas,2009,1697000
California,2009,22774000
Colorado,2009,3516000
Connecticut,2009,2633000
Delaware,2009,630000
District of Columbia,2009,400000
Florida,2009,11065000
Georgia,2009,6136000
Hawaii,2009,971000
Idaho,2009,1033000
Illinois,2009,8754000
Indiana,2009,4441000
Iowa,2009,2302000
Kansas,2009,2039000
Kentucky,2009,2772000
Louisiana,2009,2666000
Maine,2009,883000
Maryland,2009,4247000
Massachusetts,2009,5054000
Michigan,2009,6872000
Minnesota,2009,4029000
Mississippi,2009,1662000
Missouri,2009,4129000
Montana,2009,642000
Nebraska,2009,1323000
Nevada,2009,1725000
New Hampshire,2009,1018000
New Jersey,2009,6320000
New Mexico,2009,1118000
New York,2009,13075000
North Carolina,2009,6020000
North Dakota,2009,508000
Ohio,2009,8021000
Oklahoma,2009,2254000
Oregon,2009,2594000
Pennsylvania,2009,9200000
Rhode Island,2009,748000
South Carolina,2009,2873000
South Dakota,2009,574000
Tennessee,2009,4065000
Texas,2009,14305000
Utah,2009,2065000
Vermont,2009,429000
Virginia,2009,5852000
Washington,2009,4645000
West Virginia,2009,1166000
Wisconsin,2009,4161000
Wyoming,2009,384000
United States,2008,207786000
Alabama,2008,3170000
Alaska,2008,447000
Arizona,2008,4036000
Arkansas,2008,1697000
California,2008,23361000
Colorado,2008,3517000
Connecticut,2008,2697000
Delaware,2008,641000
District of Columbia,2008,406000
Florida,2008,11476000
Georgia,2008,6232000
Hawaii,2008,1013000
Idaho,2008,1056000
Illinois,2008,9110000
Indiana,2008,4561000
Iowa,2008,2326000
Kansas,2008,2109000
Kentucky,2008,2845000
Louisiana,2008,2659000
Maine,2008,903000
Maryland,2008,4320000
Massachusetts,2008,5125000
Michigan,2008,7212000
Minnesota,2008,4113000
Mississippi,2008,1739000
Missouri,2008,4165000
Montana,2008,654000
Nebraska,2008,1360000
Nevada,2008,1762000
New Hampshire,2008,1024000
New Jersey,2008,6460000
New Mexico,2008,1126000
New York,2008,13346000
North Carolina,2008,6129000
